Timestamp,Location,AQI,co,dew,h,no2,p,pm10,pm25,t,w,wg,o3,so2
2025-03-02 18:00:00,"Gdansk Srodmiescie, Gdansk, Poland",55,3.1,2.0,86,3.5,1023.0,14.0,55.0,4.0,8.7,17.4,,
2025-03-02 18:00:00,"Gdansk Wrzeszcz, Gdansk, Poland",53,2.6,2.0,86,3.7,1023.0,14.0,53.0,4.0,8.7,17.4,31.0,1.7
2025-03-02 18:00:00,"Gdansk Stogi, Gdansk, Poland",47,,2.0,86,1.8,1023.0,12.0,47.0,4.0,8.7,17.4,,1.8
2025-03-02 18:00:00,"Gdansk Nowy Port, Gdansk, Poland",31,2.3,2.0,86,1.9,1023.0,8.0,31.0,4.0,8.7,17.4,,1.4
2023-12-21 11:00:00,"Gdansk Szadołki, Gdansk, Poland",5,,1.0,93,3.8,984.5,5.0,,2.0,6.4,13.3,22.9,0.7
2025-03-02 18:00:00,"Sopot, Gdansk, Poland",50,2.7,2.0,86,2.5,1023.0,12.0,50.0,4.0,8.7,17.4,,1.2
2021-07-13 11:00:00,"Tczew, Gdansk, Poland",21,2.6,,72,23.7,986.6,21.0,,24.7,3.5,6.5,,
2025-03-02 18:00:00,"Gdynia Pogorze, Gdansk, Poland",53,4.1,,92,2.4,1026.8,13.0,53.0,4.0,10.7,22.5,31.3,1.4
2025-03-02 18:00:00,"Gdynia Dabrowa, Gdansk, Poland",45,,2.0,86,2.2,1023.0,11.0,45.0,4.0,8.7,17.4,34.6,1.8
2021-06-01 08:00:00,"Gdynia Srodmiescie, Gdansk, Poland",-,,8.0,67,18.1,1016.0,,,14.0,2.0,13.8,,
2021-01-06 07:00:00,"Starogard Gdański, Poland",15,6.8,,98,4.0,983.3,15.0,,-1.1,4.0,9.0,,
